"Zaposlene osebe po višini neto plaèe po: STATISTIÈNA REGIJA, RAZRED"
"NETO, LETO , SPOL"

" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"SLOVENIJA"
" ";"Razred neto - SKUPAJ"
" ";" ";"2011";891;469;422
" ";" ";"2012";857;444;413
" ";" ";"2013";888;457;431
" ";" ";"2014";973;522;451
" ";" ";"2015";850;427;423
" ";" ";"2016";808;361;447
" ";" ";"2017 (zaèasni podatki)";782;368;414
" ";"06"
" ";" ";"2009";1160;685;475
" ";" ";"2010";1024;642;382
" ";" ";"2011";892;498;394
" ";" ";"2012";971;549;422
" ";" ";"2013";1029;570;459
" ";" ";"2014";965;532;433
" ";" ";"2015";906;505;401
" ";" ";"2016";907;484;423
" ";" ";"2017 (zaèasni podatki)";846;446;400
" ";"07"
" ";" ";"2009";1240;769;471
" ";" ";"2010";1070;692;378
" ";" ";"2011";943;575;368
" ";" ";"2012";990;614;376
" ";" ";"2013";975;567;408
" ";" ";"2014";984;604;380
" ";" ";"2015";889;500;389
" ";" ";"2016";939;552;387
" ";" ";"2017 (zaèasni podatki)";947;541;406
" ";"08"
" ";" ";"2009";1198;797;401
" ";" ";"2010";1096;721;375
" ";" ";"2011";1050;669;381
" ";" ";"2012";1011;645;366
" ";" ";"2013";991;645;346
" ";" ";"2014";970;611;359
" ";" ";"2015";960;600;360
" ";" ";"2016";953;591;362
